Rk,Player,Position
1,Brenden Aaronson,Attacking Midfield
2,Paxten Aaronson,Attacking Midfield
3,James Abankwah,Centre-Back
4,George Abbott,Defensive Midfield
5,Yunis Abdelhamid,Centre-Back
6,Himad Abdelli,Attacking Midfield
7,Salis Abdul Samed,Defensive Midfield
8,Laurent Abergel,Defensive Midfield
9,Oliver Abildgaard,Defensive Midfield
10,Matthis Abline,Centre-Forward
12,Abner,Left-Back
13,Zakaria Aboukhlal,Right Winger
14,Tammy Abraham,Centre-Forward
15,Christian Acella,Central Midfield
16,Francesco Acerbi,Centre-Back
17,Álvaro Aceves,Goalkeeper
18,Mohamed Achi,Central Midfield
19,Marcos Acuña,Left-Back
20,Che Adams,Centre-Forward
21,Tyler Adams,Defensive Midfield
22,Sargis Adamyan,Centre-Forward
23,Tosin Adarabioyo,Centre-Back
24,Martin Adeline,Central Midfield
25,Karim Adeyemi,Centre-Forward
26,Amine Adli,Right Winger
27,Yacine Adli,Attacking Midfield
28,Michel Aebischer,Central Midfield
29,Felix Afena-Gyan,Centre-Forward
30,Emmanuel Agbadou,Centre-Back
31,Julen Agirrezabala,Goalkeeper
32,Lucien Agoume,Defensive Midfield
33,Felix Agu,Right-Back
34,Álvaro Aguado,Central Midfield
35,Kevin Agudelo,Right Winger
36,Nayef Aguerd,Centre-Back
37,Ruben Aguilar,Right-Back
38,Naouirou Ahamada,Defensive Midfield
40,Amar Ahmed,Left Winger
41,Jean-Eudes Aholou,Defensive Midfield
42,Joseph Aidoo,Centre-Back
43,Ola Aina,Right-Back
44,Rayan Aït Nouri,Left-Back
45,Emanuel Aiwum,Centre-Back
46,Kristoffer Ajer,Centre-Back
47,Ludovic Ajorque,Centre-Forward
49,Manuel Akanji,Centre-Back
50,Nathan Aké,Centre-Back
51,Sergio Akieme,Left-Back
52,Babatunde Akinsola,"['Series([], Name: TmPos, dtype: object)']"
53,Maghnes Akliouche,Attacking Midfield
54,Paul Akouokou,Defensive Midfield
55,Jean-Daniel Akpa-Akpro,Central Midfield
56,Kevin Akpoguma,Centre-Back
57,David Alaba,Centre-Back
58,Ángel Alarcón,Left Winger
59,Tomás Alarcón,Defensive Midfield
60,Lucas Alario,Centre-Forward
61,Jordi Alba,Left-Back
62,Luis Alberto,Central Midfield
63,Raúl Albiol,Centre-Back
64,Marc Albrighton,Right Winger
65,Thiago Alcántara,Central Midfield
66,Carlos Alcaraz,Central Midfield
67,Rubén Alcaraz,Central Midfield
68,Omar Alderete,Centre-Back
69,Iván Alejo,Right Winger
70,Doayan Alemdar,Goalkeeper
71,Carles Aleñá,Central Midfield
72,Trent Alexander-Arnold,Right-Back
73,Alejandro Alfaro,Central Midfield
74,Ángel Algobia,Central Midfield
75,Mohamed Ali Cho,Centre-Forward
76,Faride Alidou,Left Winger
77,Alisson,Goalkeeper
78,Jim Allevinah,Left Winger
79,Dele Alli,Attacking Midfield
80,Domingos André Ribeiro Almeida,Central Midfield
81,Miguel Almirón,Right Winger
82,Marcos Alonso,Left-Back
83,Mickaël Alphonse,Right-Back
84,Éder Álvarez Balanta,Defensive Midfield
85,Carlos Álvarez,Attacking Midfield
86,Gastón Álvarez,Centre-Back
87,Julián Álvarez,Centre-Forward
88,Agustín Álvarez Martínez,Centre-Forward
89,Yeray Álvarez,Centre-Back
90,Ibrahim Amadou,Defensive Midfield
91,Selim Amallah,Attacking Midfield
92,Daniel Amartey,Centre-Back
93,Amath,Left Winger
94,Jordan Amavi,Left-Back
95,Lukáš Ambros,Attacking Midfield
96,Kelvin Amian,Right-Back
97,Bruno Amione,Centre-Back
99,Nadiem Amiri,Central Midfield
100,Samuel Amo-Ameyaw,Right Winger
101,Ethan Ampadu,Centre-Back
102,Sofyan Amrabat,Defensive Midfield
103,Ayoub Amraoui,Left-Back
104,Joachim Andersen,Centre-Back
105,Elliot Anderson,Attacking Midfield
106,Felipe Anderson,Right Winger
107,Benjamin André,Defensive Midfield
109,Komnen Andri?,Centre-Forward
110,Robert Andrich,Central Midfield
111,Angeliño,Left-Back
112,Fabrizio Angileri,Left-Back
113,Jaidon Anthony,Left Winger
114,Janis Antiste,Centre-Forward
115,Waldemar Anton,Centre-Back
116,Josep Antoni Gayá,Centre-Back
117,José Antonio,Left Winger
118,Marcos Antônio,Central Midfield
119,Michail Antonio,Centre-Forward
120,Antony,Right Winger
121,Valentin Antov,Centre-Back
122,Christopher Antwi-Adjei,Left Winger
123,Anuar,Central Midfield
124,Houssem Aouar,Central Midfield
125,Adil Aouchiche,Attacking Midfield
126,Dennis Appiah,Right-Back
127,Stredair Appuah,Left Winger
128,Mauro Arambarri,Central Midfield
129,Charles Aránguiz,Central Midfield
130,Ronald Araújo,Centre-Back
131,Cameron Archer,Centre-Forward
132,Taïryk Arconte,Right Winger
133,Alphonse Areola,Goalkeeper
363,Ismaëlben Boura,Left-Back
393,Joe Bryan,Left-Back
394,Lee Buchanan,Left-Back
395,Ante Budimir,Centre-Forward
396,Emi Buendía,Right Winger
397,Hugo Bueno,Left-Back
398,Santiago Bueno,Centre-Back
399,Adam Buksa,Centre-Forward
400,Marius Bülter,Second Striker
401,Cristian Buonaiuto,Left Winger
402,Facundo Buonanotte,Attacking Midfield
403,Alessandro Buongiorno,Centre-Back
404,Delano Burgzorg,Left Winger
405,Jonathan Burkardt,Centre-Forward
406,Oliver Burke,Centre-Forward
407,Dan Burn,Centre-Back
408,Maxime Busi,Right-Back
409,Sergio Busquets,Defensive Midfield
410,Aurélio Buta,Right-Back
411,Leonardo Buta,Left-Back
412,Marcin Bu?ka,Goalkeeper
413,Jamie Bynoe-Gittens,Right Winger
414,Juan Cabal,Centre-Back
415,Rémy Cabella,Attacking Midfield
416,Jimmy Cabot,Right WingBack
417,Leandro Cabrera,Centre-Back
418,Liberato Cacace,Left-Back
419,Anthony Caci,Left-Back
420,Cafú,Central Midfield
421,Moisés Caicedo,Central Midfield
422,Tom Cairney,Central Midfield
423,Jens Cajuste,Defensive Midfield
424,Cala,Centre-Back
425,Davide Calabria,Right-Back
426,Mattia Caldara,Centre-Back
427,Luca Caldirola,Centre-Back
428,Fernando Calero,Centre-Back
429,Duje ?aleta-Car,Centre-Back
431,Hakan Çalhano?lu,Central Midfield
432,Kerim Calhanoglu,Left-Back
433,Daniel Caligiuri,Right Winger
434,Alexander Callens,Centre-Back
435,Dominic Calvert-Lewin,Centre-Forward
436,Mahdi Camara,Central Midfield
437,Mohamed Camara,Defensive Midfield
439,Ousmane Camara,Centre-Back
441,Eduardo Camavinga,Central Midfield
442,Nicolò Cambiaghi,Left Winger
443,Andrea Cambiaso,Left-Back
444,Axel Camblan,Attacking Midfield
445,Sergio Camello,Centre-Forward
446,Chem Campbell,Attacking Midfield
447,Emre Can,Defensive Midfield
448,Sergio Canales,Attacking Midfield
449,Matteo Cancellieri,Right Winger
450,João Cancelo,Right-Back
452,Antonio Candreva,Right WingBack
453,Thomas Cannon,Centre-Forward
454,Sergi Canós,Right Winger
455,Ander Capa,Right-Back
456,Pierrick Capelle,Left WingBack
457,Étienne Capoue,Defensive Midfield
458,Gianluca Caprari,Second Striker
459,Francesco Caputo,Centre-Forward
461,Maxence Caqueret,Central Midfield
462,Andrea Carboni,Centre-Back
463,Franco Carboni,Left WingBack
464,Valentin Carboni,Attacking Midfield
465,Isaac Carcelen,Right-Back
466,Irvin Cardona,Centre-Forward
468,Igor Carioca,Right-Back
469,Carlos,Left-Back
470,Diego Carlos,Centre-Back
471,Juan Carlos,Attacking Midfield
472,José Carlos Lazo,Left Winger
474,Carmona,Right-Back
476,Marco Carnesecchi,Goalkeeper
477,Yannick Carrasco,Left Winger
478,Dani Carvajal,Right-Back
479,Fabio Carvalho,Attacking Midfield
480,Matis Carvalho,Goalkeeper
481,William Carvalho,Defensive Midfield
482,Nicolò Casale,Centre-Back
483,Casemiro,Defensive Midfield
485,Matty Cash,Right-Back
486,Tommaso Cassandro,Right-Back
487,Timothy Castagne,Right-Back
488,Michele Castagnetti,Defensive Midfield
489,Koen Casteels,Goalkeeper
490,Valentín Castellanos,Centre-Forward
491,Jean-Charles Castelletto,Centre-Back
492,Samu Castillejo,Right Winger
493,Jonny Castro,Left-Back
494,Gaetano Castrovilli,Central Midfield
495,Danilo Cataldi,Defensive Midfield
496,Catena,Centre-Back
497,Yoann Cathline,Left Winger
498,Maximiliano Caufriez,Centre-Back
499,Edinson Cavani,Centre-Forward
500,Dani Ceballos,Central Midfield
501,Pietro Ceccaroni,Centre-Back
502,Federico Ceccherini,Centre-Back
503,Assan Ceesay,Centre-Forward
504,Emil Ceide,Left Winger
505,Zeki Çelik,Right-Back
506,Álex Centelles,Left-Back
507,Fabien Centonze,Right-Back
508,Michele Cerofolini,Goalkeeper
509,Franco Cervi,Left Winger
510,Julio César Enciso,Centre-Forward
511,Julian Chabot,Goalkeeper
512,Florian Chabrolle,Centre-Back
513,El Chadaille Bitshiabu,Attacking Midfield
514,Fares Chaïbi,Centre-Back
515,Nathaniel Chalobah,Central Midfield
516,Trevoh Chalobah,Defensive Midfield
517,Muhammed Cham,Centre-Back
518,Calum Chambers,Centre-Back
519,Timothy Chandler,Right-Back
520,Gaëtan Charbonnier,Centre-Forward
521,Brendan Chardonnet,Centre-Back
522,Shea Charles,"['Series([], Name: TmPos, dtype: object)']"
523,Xavier Chavalerin,Central Midfield
524,Pep Chavarría,Left-Back
525,Ivane Chegra,Right Winger
526,Pape Cheikh Diop,Centre-Back
527,Rayan Cherki,Right Winger
528,Ilyes Cheti,Left-Back
529,Lucas Chevalier,Goalkeeper
530,Fabio Chiarodia,Centre-Back
531,Federico Chiesa,Right Winger
532,Ben Chilwell,Left-Back
533,Vlad Chiriche?,Centre-Back
534,Pedro Chirivella,Defensive Midfield
535,Joris Chotard,Defensive Midfield
536,Andreas Christensen,Centre-Back
537,Oliver Christensen,Goalkeeper
538,Ryan Christie,Attacking Midfield
539,Carney Chukwuemeka,Central Midfield
540,Samuel Chukwueze,Right Winger
541,Darko Churlinov,Left Winger
542,Víctor Chust,Centre-Back
543,Tolga Ci?erci,Defensive Midfield
544,Yanis Cimignani,Left WingBack
545,Daniel Ciofani,Centre-Forward
546,Tio Cipot,Central Midfield
547,Pathé Ciss,Central Midfield
548,Souleymane Cissé,Centre-Back
549,Patrick Ciurria,Right Winger
550,Bobby Clark,Central Midfield
551,Alexis Claude-Maurice,Attacking Midfield
553,Jonathan Clauss,Right-Back
554,Carlos Clerc,Left-Back
555,Nathaniel Clyne,Right-Back
556,Conor Coady,Centre-Back
557,Nicolò Cocetta,"['Series([], Name: TmPos, dtype: object)']"
558,Marcus Coco,Right Winger
559,Alexandre Coeff,Centre-Back
560,Jack Colback,Defensive Midfield
561,Séamus Coleman,Right-Back
562,David ?olina,Left-Back
563,Álex Collado,Attacking Midfield
564,Diego Collado,Left Winger
565,Omar Colley,Centre-Back
566,Nathan Collins,Centre-Back
567,Lorenzo Colombo,Centre-Forward
568,Andrea Colpani,Central Midfield
569,Levi Colwill,Centre-Back
570,Kingsley Coman,Right Winger
571,Eray Cömert,Centre-Back
572,Santi Comesaña,Central Midfield
573,Andrea Consigli,Goalkeeper
574,Abdu Conté,Left-Back
575,Andrea Conti,Right-Back
576,Lewis Cook,Central Midfield
577,Steve Cook,Centre-Back
578,Liam Cooper,Centre-Back
579,Copete,Centre-Back
580,Diego Coppola,Centre-Back
581,Francis Coquelin,Defensive Midfield
582,Sébastien Corchia,Right-Back
583,Alex Cordaz,Goalkeeper
584,Maxwel Cornet,Left Winger
585,Jesús Corona,Right Winger
586,Ángel Correa,Second Striker
587,Joaquín Correa,Second Striker
588,Thierry Correia,Right-Back
589,Alessandro Cortinovis,Attacking Midfield
590,Danny da Costa,Right-Back
591,David Pereira da Costa,Attacking Midfield
592,Diego Costa,Centre-Forward
593,Jaume Costa,Left-Back
594,Logan Costa,Centre-Back
595,Nuno da Costa,Centre-Forward
596,Samu Costa,Defensive Midfield
597,Benoît Costil,Goalkeeper
598,Vladimír Coufal,Right-Back
599,Lassana Coulibaly,Central Midfield
600,Soumaïla Coulibaly,Centre-Back
601,Tanguy Coulibaly,Left Winger
602,Thibaut Courtois,Goalkeeper
603,Mathieu Coutadeur,Central Midfield
604,Philippe Coutinho,Left Winger
605,Yan Couto,Right-Back
606,Conor Coventry,Defensive Midfield
607,Nicolas Cozza,Left-Back
609,Alessio Cragno,Goalkeeper
610,Matthew Craig,"['Series([], Name: TmPos, dtype: object)']"
611,Aaron Cresswell,Left-Back
612,Bryan Cristante,Defensive Midfield
613,Domen ?rnigoj,"['Series([], Name: TmPos, dtype: object)']"
614,Juan Cruz Armada,Left-Back
615,Juan Cruz,Right Winger
616,Juan Cuadrado,Right-Back
617,Marc Cucurella,Left-Back
618,Jorge Cuenca,Centre-Back
619,Braian Cufré,Left-Back
620,Mickaël Cuisance,Central Midfield
621,Matheus Cunha,Centre-Forward
623,Curro,Right Winger
624,Marco D'Alessandro,Right Winger
625,Danilo D'Ambrosio,Centre-Back
626,Luca D'Andrea,Right Winger
627,Damien Da Silva,Centre-Back
628,Moanes Dabbur,Centre-Forward
629,Andréa Dacourt,"['Series([], Name: TmPos, dtype: object)']"
630,Colin Dagba,Right-Back
631,Finn Dahmen,Goalkeeper
632,Mahmoud Dahoud,Central Midfield
633,Patson Daka,Centre-Forward
634,Thijs Dallinga,Centre-Forward
635,Diogo Dalot,Right-Back
636,Muhammed Damar,Attacking Midfield
637,Mikkel Damsgaard,Left Winger
638,Flavius Daniliuc,Centre-Back
640,Danilo,Right-Back
642,Arnaut Danjuma,Left Winger
644,Kévin Danois,Attacking Midfield
645,Kevin Danso,Centre-Back
646,Dante,Centre-Back
647,Márton Dárdai,Centre-Back
648,Sergi Darder,Central Midfield
649,Achraf Dari,Centre-Back
650,Vladimír Darida,Central Midfield
651,Matteo Darmian,Right-Back
652,Josh Dasilva,Defensive Midfield
653,David Datro Fofana,Centre-Forward
654,Jonathan David,Centre-Forward
655,Alphonso Davies,Left-Back
656,Ben Davies,Left-Back
657,Tom Davies,Central Midfield
658,Pawe? Dawidowicz,Centre-Back
659,Craig Dawson,Centre-Back
661,Kevin De Bruyne,Attacking Midfield
662,Charles De Ketelaere,Attacking Midfield
663,Manuel De Luca,Centre-Forward
664,Tommaso De Nipoti,Second Striker
665,Rodrigo De Paul,Central Midfield
666,Mattia De Sciglio,Right-Back
667,Lorenzo De Silvestri,Right-Back
668,Thibault De Smet,Left-Back
669,Koni De Winter,Centre-Back
670,Grégoire Defrel,Centre-Forward
671,Duccio Degl'Innocenti,Defensive Midfield
672,Brecht Dejaegere,Central Midfield
673,Romain Del Castillo,Right Winger
674,Alberto Del Moral,Central Midfield
675,Thomas Delaine,Left-Back
676,Thomas Delaney,Defensive Midfield
678,Sacha Delaye,Central Midfield
679,Fran Delgado,Right-Back
680,Andy Delort,Centre-Forward
682,Karamoko Dembele,Right Winger
683,Moussa Dembélé,Centre-Forward
684,Ousmane Dembélé,Right Winger
685,Siriki Dembélé,Left Winger
687,Merih Demiral,Centre-Back
688,Kerem Demirbay,Central Midfield
689,Ermedin Demirovi?,Centre-Forward
690,Diego Demme,Defensive Midfield
691,Sepp van den Berg,Centre-Back
692,Branco van den Boomen,Central Midfield
693,Leander Dendoncker,Defensive Midfield
695,Emmanuel Dennis,Centre-Forward
696,Fabio Depaoli,Right-Back
698,Kastriot Dermaku,Centre-Back
699,Halil Dervi?o?lu,Centre-Forward
700,Rémy Descamps,Goalkeeper
701,Mikkel Desler,Right-Back
702,Cyriel Dessers,Centre-Forward
703,Sergiño Dest,Right-Back
704,Mattia Destro,Centre-Forward
705,Gerard Deulofeu,Centre-Forward
706,Kiernan Dewsbury-Hall,Central Midfield
707,Samuel Di Carmine,Centre-Forward
708,Federico Di Francesco,Left Winger
709,Michele Di Gregorio,Goalkeeper
710,Giovanni Di Lorenzo,Right-Back
711,Ángel Di María,Right Winger
712,Boulaye Dia,Centre-Forward
713,Moussa Diaby,Left Winger
714,Mouctar Diakhaby,Centre-Back
715,Mamadou Diakhon,"['Series([], Name: TmPos, dtype: object)']"
716,Bafodé Diakité,Centre-Back
717,Ibrahim Diakité,Right-Back
718,Abdou Diallo,Centre-Back
719,Baila Diallo,Left-Back
720,Habib Diallo,Centre-Forward
721,Ibrahima Diallo,Defensive Midfield
722,Ismael Diallo,Left-Back
723,Mamady Diarra,Left Winger
724,Mouhamadou Diarra,Defensive Midfield
725,Moussa Diarra,Left-Back
726,Stéphane Diarra,Right Winger
727,Youba Diarra,Central Midfield
728,Rúben Dias,Centre-Back
729,Krépin Diatta,"['Series([], Name: TmPos, dtype: object)']"
730,Mory Diaw,Goalkeeper
731,Brahim Díaz,Attacking Midfield
732,Luis Díaz,Left Winger
733,Justin Diehl,Second Striker
734,Bamba Dieng,Centre-Forward
736,Eric Dier,Centre-Back
737,Florian Dietz,Centre-Forward
738,Lucas Digne,Left-Back
739,Federico Dimarco,Centre-Back
740,Stole Dimitrievski,Goalkeeper
741,Junior Dina Ebimbe,Central Midfield
742,Tristan Dingomé,Central Midfield
743,Eren Dinkçi,Right Winger
744,Sinaly Diomande,Centre-Back
745,Lois Diony,Centre-Forward
746,Edan Diop,Central Midfield
747,Issa Diop,Centre-Back
748,Sofiane Diop,Left Winger
750,Yehvann Diouf,Goalkeeper
751,Axel Disasi,Centre-Back
752,Tiago Djaló,Centre-Back
753,Djené,Centre-Back
754,Moussa Djenepo,Left Winger
755,Koffi Djidji,Centre-Back
756,Alexander Djiku,Centre-Back
757,Berat Djimsiti,Centre-Back
758,Moussa Djitte,Centre-Forward
759,Ouparine Djoco,Goalkeeper
760,Marko Dmitrovi?,Goalkeeper
761,Alan Do Marcolino,Centre-Forward
762,Ben Doak,Right Winger
763,Ritsu Doan,Right Winger
764,Dodô,Left-Back
765,Danilho Doekhi,Centre-Back
766,Matt Doherty,Right-Back
768,Josh Doig,Left-Back
769,Jeremy Doku,Right Winger
770,Kasper Dolberg,Centre-Forward
772,Carlos Dominguez,Centre-Back
773,Nicolás Domínguez,Central Midfield
774,John Donald,Defensive Midfield
775,Giulio Donati,Right-Back
776,Kyliane Dong,Left Winger
777,Jordan Dongmo,Central Midfield
778,Gianluigi Donnarumma,Goalkeeper
779,Niklas Dorsch,Defensive Midfield
780,Gabriel Dos Santos,Centre-Back
781,Jodel Dossou,Right Winger
782,Lohann Doucet,Defensive Midfield
783,Abdoulaye Doucouré,Central Midfield
784,Cheick Doucouré,Defensive Midfield
785,Ckene Doucouré,Centre-Forward
786,Désiré Doué,Attacking Midfield
787,Guela Doué,Right-Back
788,Ismaël Doukouré,Centre-Back
789,Kamory Doumbia,Attacking Midfield
790,Souleyman Doumbia,Left-Back
791,Flynn Downes,Central Midfield
792,Kami Doyle,"['Series([], Name: TmPos, dtype: object)']"
793,Bart?omiej Dr?gowski,Goalkeeper
794,Cody Drameh,Right-Back
795,Dion Drena Beljo,Centre-Forward
796,Dominick Drexler,Attacking Midfield
797,Domingos Duarte,Centre-Back
798,Martin Dúbravka,Goalkeeper
799,Marvin Ducksch,Centre-Forward
800,Ondrej Duda,Attacking Midfield
802,Shane Duffy,Centre-Back
803,Rémy Dugimont,Left Winger
804,Denzel Dumfries,Right WingBack
805,Alfred Duncan,Central Midfield
806,Lewis Dunk,Centre-Back
807,Maxime Dupé,Goalkeeper
808,Jhon Durán,Centre-Forward
809,Pablo Durán,Centre-Forward
810,Julien Duranville,"['Series([], Name: TmPos, dtype: object)']"
811,Hugo Duro,Centre-Forward
812,Jean-Kevin Duverne,Centre-Back
813,Paulo Dybala,Second Striker
814,Edin Džeko,Centre-Forward
815,Malcolm Ebiowei,Right Winger
816,Festy Ebosele,Right-Back
817,Enzo Ebosse,Left-Back
818,Tyronne Ebuehi,Right-Back
819,Ederson,Goalkeeper
820,Éderson,Central Midfield
821,Odsonne Édouard,Centre-Forward
822,Samuel Edozie,Left Winger
823,Maximilian Eggestein,Central Midfield
824,Lilian Egloff,Attacking Midfield
825,Íñigo Eguaras,Defensive Midfield
826,Kingsley Ehizibue,Right-Back
828,Julian Eitschberger,Right-Back
829,Chidera Ejuke,Left Winger
830,Albin Ekdal,Defensive Midfield
831,Hugo Ekitike,Centre-Forward
832,Emmanuel Ekong,Centre-Forward
833,Anthony Elanga,Left Winger
834,Alberth Elis,Right Winger
835,Mikael Ellertsson,Central Midfield
836,Harvey Elliott,Right Winger
837,Elif Elmas,Attacking Midfield
838,Mohamed Elneny,Defensive Midfield
839,Aritz Elustondo,Centre-Back
840,Nico Elvedi,Centre-Back
841,Rodrigo Ely,Centre-Back
842,Mohamed Elyounoussi,Left Winger
843,Adri Embarba,Right Winger
845,Breel Embolo,Centre-Forward
846,Emerson,Right-Back
847,Youssef En-Nesyri,Centre-Forward
848,Wataru Endo,Defensive Midfield
849,Arne Engels,Central Midfield
850,Christian Eriksen,Attacking Midfield
851,Martin Erlic,Centre-Back
852,Tjark Ernst,"['Series([], Name: TmPos, dtype: object)']"
853,Gonzalo Escalante,Central Midfield
855,Sergio Escudero,Left-Back
856,Alfonso Espino,Left-Back
857,Bernardo Espinosa,Centre-Back
858,Salvatore Esposito,Defensive Midfield
859,Maxime Estève,Centre-Back
860,Pervis Estupiñán,Left-Back
861,Jonny Evans,Centre-Back
862,Edu Expósito,Central Midfield
863,Eberechi Eze,Attacking Midfield
864,Kimberly Ezekwem,Left-Back
865,Nicolás Ezequiel Fernández,Left-Back
866,Abdessamad Ezzalzouli,Left Winger
867,?ukasz Fabia?ski,Goalkeeper
868,Fabinho,Defensive Midfield
869,Fábio,Right-Back
870,Noah Fadiga,Right-Back
871,Wout Faes,Centre-Back
873,Nicolò Fagioli,Central Midfield
874,Ralf Fährmann,Goalkeeper
875,Romain Faivre,Right Winger
877,Radamel Falcao,Centre-Forward
878,Wladimiro Falcone,Goalkeeper
879,Fali,Centre-Back
880,Fallou Fall,"['Series([], Name: TmPos, dtype: object)']"
881,Mamadou Fall,Centre-Back
882,Davide Faraoni,Right-Back
883,Ansu Fati,Left Winger
884,Khalil Fayad,Central Midfield
885,Cheikh Faye,Right-Back
886,Federico Fazio,Centre-Back
887,Jacopo Fazzini,Central Midfield
888,Zouhair Feddal,Centre-Back
889,Nabil Fekir,Attacking Midfield
890,Felipe,Centre-Back
892,Luiz Felipe,Centre-Back
893,João Félix,Second Striker
895,Ohis Felix Uduokhai,Centre-Back
896,Kiko Femenía,Right-Back
897,Evan Ferguson,Centre-Forward
898,Lewis Ferguson,Central Midfield
899,Bruno Fernandes,Attacking Midfield
900,Edimilson Fernandes,Central Midfield
901,Aitor Fernández,Goalkeeper
902,Álex Fernández,Attacking Midfield
903,Álvaro Fernández,Goalkeeper
904,Carlos Fernández,Centre-Forward
905,Enzo Fernández,Central Midfield
906,Federico Fernández,Centre-Back
907,Joaquín Fernández,Centre-Back
908,Valery Fernández,Right Winger
909,Fernando,Defensive Midfield
911,Alex Ferrari,Centre-Back
913,Salvador Ferrer,Right-Back
914,Jordan Ferri,Central Midfield
915,Fidel,Left Winger
916,Karol Fila,Right-Back
917,Vincenzo Fiorillo,Goalkeeper
918,Roberto Firmino,Centre-Forward
919,Junior Firpo,Left-Back
920,Kilian Fischer,Right-Back
921,Mark Flekken,Goalkeeper
922,Florian Flick,Defensive Midfield
923,Alexis Flips,Right Winger
924,Alessandro Florenzi,Right-Back
925,Phil Foden,Central Midfield
926,Seko Fofana,Central Midfield
927,Wesley Fofana,Centre-Back
