Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG-GA,PSxG-GA_p90,LCmp,LAtt,LCmp%,PaAtt,PaThr,PaAvgLen,GKAtt,GKLp,GKAvgLen,COpp,CStp,CStpp,SwOPA,SwOPA_p90,SwAvgDist
103,Mike Maignan,FRA,GK,Milan,Serie A,27,1995,22.0,21,2,1,2,0,20.3,0.28,-0.7,-0.03,76,193,39.38,725,119,29.8,85,32.9,35.1,221,15,6.79,32,1.46,17.8
104,Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,21,2000,38.0,45,2,0,7,2,42.9,0.28,-0.1,0.0,177,522,33.91,843,142,35.1,239,74.5,54.2,457,35,7.66,47,1.24,16.3
105,Steve Mandanda,FRA,GK,Rennes,Ligue 1,37,1985,33.5,31,2,0,5,1,32.4,0.28,2.4,0.07,163,420,38.81,1022,166,31.5,192,55.7,41.5,382,35,9.16,51,1.52,16.7
106,Vito Mannone,ITA,GK,Lorient,Ligue 1,34,1988,17.9,24,1,2,2,0,25.2,0.29,1.2,0.07,56,176,31.82,471,101,29.5,112,48.2,37.5,344,12,3.49,9,0.5,10.6
107,Agustín Marchesín,ARG,GK,Celta Vigo,La Liga,34,1988,19.0,29,2,1,4,1,20.7,0.24,-7.3,-0.38,103,267,38.58,500,75,35.3,131,51.9,42.9,253,14,5.53,25,1.32,18.1
108,Federico Marchetti,ITA,GK,Spezia,Serie A,39,1983,0.7,2,0,0,0,0,1.5,0.48,-0.5,-0.74,2,4,50.0,10,2,24.3,8,37.5,32.4,8,0,0.0,1,1.36,22.0
109,Diego Mariño,ESP,GK,Almería,La Liga,32,1990,0.5,2,0,0,0,0,1.4,0.28,-0.6,-1.25,2,3,66.67,3,1,35.7,5,40.0,45.6,12,0,0.0,0,0.0,7.0
110,Emiliano Martínez,ARG,GK,Aston Villa,Premier League,29,1992,34.9,38,4,1,6,4,36.6,0.24,2.6,0.07,199,523,38.05,1171,135,33.0,212,50.5,40.7,483,60,12.42,73,2.09,16.6
111,Jordi Masip,ESP,GK,Valladolid,La Liga,33,1989,27.9,42,5,0,0,1,45.8,0.27,4.8,0.17,133,389,34.19,722,121,35.9,239,51.5,41.9,396,15,3.79,14,0.5,12.7
112,Luís Maximiano,POR,GK,Lazio,Serie A,23,1999,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,66.67,0,1,0.0,0,0.0,0.0,0,0,,0,0.0,19.0
113,Alex McCarthy,ENG,GK,Southampton,Premier League,32,1989,6.0,17,1,0,1,1,10.9,0.34,-5.1,-0.84,22,113,19.47,194,29,36.5,52,36.5,31.0,92,6,6.52,7,1.17,13.5
114,Edouard Mendy,SEN,GK,Chelsea,Premier League,30,1992,9.5,14,0,0,4,0,11.9,0.33,-2.1,-0.22,27,77,35.06,226,47,27.6,63,42.9,34.4,128,9,7.03,11,1.16,13.7
115,Alex Meret,ITA,GK,Napoli,Serie A,25,1997,34.0,24,1,0,1,0,25.0,0.25,1.0,0.03,56,145,38.62,733,121,26.1,198,20.2,26.9,335,11,3.28,39,1.15,17.0
116,Illan Meslier,FRA,GK,Leeds United,Premier League,22,2000,34.0,67,3,1,7,1,53.6,0.32,-12.4,-0.36,106,449,23.61,794,194,33.7,242,56.2,43.5,432,34,7.87,66,1.94,15.8
117,Alexander Meyer,GER,GK,Dortmund,Bundesliga,31,1991,7.0,12,0,0,2,0,7.9,0.25,-4.1,-0.58,24,60,40.0,278,35,27.3,44,34.1,35.0,91,8,8.79,18,2.57,19.8
118,Vanja Milinković-Savić,SRB,GK,Torino,Serie A,25,1997,38.0,41,5,0,6,0,35.8,0.23,-5.2,-0.14,285,939,30.35,1506,185,39.7,286,91.3,70.0,469,36,7.68,70,1.84,16.2
119,Antonio Mirante,ITA,GK,Milan,Serie A,39,1983,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,3,0,27.0,1,0.0,15.0,0,0,,0,0.0,0.0
120,Lorenzo Montipò,ITA,GK,Hellas Verona,Serie A,26,1996,37.0,59,1,1,4,3,49.6,0.27,-6.4,-0.17,360,775,46.45,905,124,44.3,284,72.5,52.1,496,26,5.24,55,1.49,15.3
121,Florian Müller,GER,GK,Stuttgart,Bundesliga,24,1997,19.0,34,1,2,3,0,27.2,0.3,-6.8,-0.36,98,212,46.23,599,98,29.2,133,38.3,36.6,260,6,2.31,28,1.47,18.9
122,Juan Musso,ARG,GK,Atalanta,Serie A,28,1994,23.1,27,2,0,3,2,21.7,0.23,-3.3,-0.14,109,276,39.49,547,152,32.1,157,62.4,48.6,253,14,5.53,24,1.04,15.6
123,Yvon Mvogo,SUI,GK,Lorient,Ligue 1,28,1994,20.1,29,1,0,4,1,27.1,0.27,-0.9,-0.04,86,228,37.72,473,85,32.1,145,46.2,36.6,381,21,5.51,7,0.35,8.5
124,Keylor Navas,CRC,GK,Nott'ham Forest,Premier League,35,1986,17.0,32,4,1,3,0,29.3,0.32,-2.7,-0.16,106,320,33.13,378,65,41.3,151,70.9,48.1,295,14,4.75,9,0.53,9.2
125,Neto,BRA,GK,Bournemouth,Premier League,33,1989,26.5,39,4,0,8,1,39.7,0.26,1.7,0.06,160,437,36.61,601,136,37.8,231,65.8,44.6,510,35,6.86,25,0.94,12.1
126,Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,36,1986,12.0,11,2,0,0,0,14.7,0.29,3.7,0.31,39,79,49.37,435,81,26.8,69,10.1,23.8,103,4,3.88,23,1.92,19.5
127,Alexander Nübel,GER,GK,Monaco,Ligue 1,25,1996,38.0,58,5,1,4,3,49.5,0.24,-5.5,-0.14,189,445,42.47,875,203,32.8,266,61.3,45.6,454,36,7.93,33,0.87,12.7
128,Ørjan Nyland,NOR,GK,RB Leipzig,Bundesliga,31,1990,2.0,2,0,0,1,1,1.8,0.36,0.8,0.39,11,33,33.33,83,9,33.6,15,40.0,36.7,28,0,0.0,0,0.0,12.5
129,Jan Oblak,SVN,GK,Atlético Madrid,La Liga,29,1993,27.7,20,1,1,1,0,21.9,0.27,1.9,0.07,120,374,32.09,586,115,36.1,228,60.1,46.0,358,25,6.98,19,0.69,14.2
130,Guillermo Ochoa,MEX,GK,Salernitana,Serie A,37,1985,20.0,33,3,1,6,0,34.8,0.3,1.8,0.09,135,430,31.4,556,45,40.9,200,66.0,47.3,311,11,3.54,10,0.5,12.3
131,Jan Olschowsky,GER,GK,M'Gladbach,Bundesliga,20,2001,4.0,11,1,0,1,0,11.4,0.39,0.4,0.09,11,37,29.73,123,25,30.5,36,5.6,20.9,59,6,10.17,4,1.0,12.9
132,Robin Olsen,SWE,GK,Aston Villa,Premier League,32,1990,3.1,8,1,0,3,0,6.2,0.29,-1.8,-0.57,15,62,24.19,101,18,37.6,28,60.7,46.8,45,5,11.11,3,0.96,14.2
133,Jonas Omlin,SUI,GK,"Montpellier,M'Gladbach","Ligue 1,Bundesliga",28,1994,27.3,44,5,0,2,2,42.2,0.57,0.2,0.0,110,338,32.54,968,151,30.2,185,99.7,41.3,429,29,6.76,32,2.33,13.4
135,André Onana,CMR,GK,Inter,Serie A,26,1996,24.0,24,2,0,5,2,19.3,0.21,-2.7,-0.11,105,270,38.89,875,115,29.6,152,30.9,35.4,283,15,5.3,10,0.42,12.5
136,Stefan Ortega,GER,GK,Manchester City,Premier League,29,1992,3.0,1,0,0,0,0,4.1,0.27,3.1,1.02,11,24,45.83,155,16,23.9,12,8.3,20.3,26,1,3.85,7,2.33,21.1
137,Fernando Pacheco,ESP,GK,"Almería,Espanyol","La Liga,La Liga",30,1992,17.0,35,4,0,4,0,28.2,0.57,-6.8,-0.82,130,284,45.77,443,64,38.2,141,94.3,42.5,258,17,6.59,21,3.19,14.15
139,Rui Patrício,POR,GK,Roma,Serie A,34,1988,35.0,35,2,1,4,1,27.6,0.23,-6.4,-0.18,135,328,41.16,644,121,33.6,240,35.8,34.8,402,16,3.98,25,0.71,13.8
140,Jiří Pavlenka,CZE,GK,Werder Bremen,Bundesliga,30,1992,32.3,61,2,0,5,2,51.9,0.29,-7.1,-0.22,198,497,39.84,893,152,36.3,279,49.8,42.9,481,22,4.57,38,1.18,14.9
141,Gianluca Pegolo,ITA,GK,Sassuolo,Serie A,41,1981,2.0,3,1,0,0,0,3.2,0.38,0.2,0.12,9,18,50.0,61,10,29.7,16,31.3,28.3,28,2,7.14,0,0.0,9.0
142,Iñaki Peña,ESP,GK,Barcelona,La Liga,23,1999,0.8,2,0,0,0,0,1.4,0.36,-0.6,-0.7,1,3,33.33,23,5,25.2,4,0.0,22.8,7,0,0.0,2,2.47,16.5
143,Patrick Pentz,AUT,GK,Reims,Ligue 1,25,1997,7.0,14,2,0,2,1,11.9,0.34,-1.1,-0.16,29,94,30.85,152,25,36.3,59,44.1,38.7,103,8,7.77,4,0.57,12.2
144,Simone Perilli,ITA,GK,Hellas Verona,Serie A,27,1995,1.0,0,0,0,0,0,0.8,0.19,0.8,0.75,6,30,20.0,21,0,57.3,13,100.0,69.8,19,1,5.26,1,1.0,12.0
145,Mattia Perin,ITA,GK,Juventus,Serie A,29,1992,10.5,7,1,0,1,0,11.2,0.23,4.2,0.39,32,107,29.91,287,54,30.8,63,39.7,35.9,154,4,2.6,11,1.04,15.7
146,Samuele Perisan,ITA,GK,Empoli,Serie A,24,1997,7.0,9,0,0,2,0,7.5,0.31,-1.5,-0.22,25,75,33.33,153,39,32.7,75,34.7,34.3,134,5,3.73,4,0.57,11.6
147,Jordan Pickford,ENG,GK,Everton,Premier League,28,1994,37.0,57,5,2,4,0,60.0,0.31,3.0,0.08,270,801,33.71,992,151,43.0,315,71.4,52.7,566,22,3.89,52,1.41,16.2
148,Nick Pope,ENG,GK,Newcastle Utd,Premier League,30,1992,36.2,32,2,0,8,1,31.3,0.24,0.3,0.01,120,368,32.61,683,232,33.0,207,68.6,50.7,411,34,8.27,74,2.04,18.2
149,Ivan Provedel,ITA,GK,Lazio,Serie A,28,1994,37.9,30,1,0,5,1,31.4,0.25,2.4,0.06,158,373,42.36,1121,166,32.2,198,33.3,33.2,493,21,4.26,55,1.45,16.5
150,Ghjuvanni Quilichini,FRA,GK,Ajaccio,Ligue 1,19,2002,0.9,0,0,0,0,0,0.8,0.24,0.8,0.93,6,24,25.0,26,2,43.8,8,100.0,61.0,25,2,8.0,0,0.0,7.5
151,Ionuț Radu,ROU,GK,"Cremonese,Auxerre","Serie A,Ligue 1",25,1997,26.0,39,3,0,3,1,42.9,0.56,4.9,0.39,155,492,31.5,734,99,39.3,195,129.6,50.0,380,20,5.26,22,1.76,13.7
153,Predrag Rajković,SRB,GK,Mallorca,La Liga,26,1995,36.0,40,6,0,3,0,39.2,0.25,-0.8,-0.02,323,786,41.09,899,125,45.4,309,74.4,54.0,608,32,5.26,19,0.53,11.7
154,Diant Ramaj,GER,GK,Eint Frankfurt,Bundesliga,20,2001,1.0,1,0,0,1,0,1.0,0.2,0.0,0.01,1,3,33.33,21,7,29.1,4,25.0,22.0,15,1,6.67,1,1.0,11.5
155,Aaron Ramsdale,ENG,GK,Arsenal,Premier League,24,1998,38.0,43,3,0,6,1,40.0,0.28,-2.0,-0.05,109,429,25.41,956,174,33.3,153,59.5,49.2,381,22,5.77,43,1.13,16.1
156,Nicola Ravaglia,ITA,GK,Sampdoria,Serie A,33,1988,9.0,23,2,0,3,0,17.9,0.26,-5.1,-0.57,49,145,33.79,226,45,35.6,99,49.5,37.6,155,10,6.45,1,0.11,10.5
157,David Raya,ESP,GK,Brentford,Premier League,26,1995,38.0,46,2,0,9,3,48.0,0.24,5.0,0.13,347,882,39.34,1367,160,39.5,269,70.3,51.8,598,52,8.7,54,1.42,15.8
158,Pepe Reina,ESP,GK,Villarreal,La Liga,39,1982,22.0,27,4,0,3,1,28.9,0.29,2.9,0.13,64,207,30.92,736,112,28.8,118,37.3,35.7,315,15,4.76,20,0.91,14.6
159,Álex Remiro,ESP,GK,Real Sociedad,La Liga,27,1995,38.0,35,1,1,3,2,32.8,0.24,-0.2,0.0,244,572,42.66,1090,138,35.9,216,63.9,51.3,453,18,3.97,47,1.24,15.9
160,Manuel Riemann,GER,GK,Bochum,Bundesliga,33,1988,34.0,72,8,2,9,3,69.0,0.3,0.0,0.0,554,1175,47.15,1489,83,44.7,261,69.0,50.6,536,31,5.78,121,3.56,22.2
161,Rémy Riou,FRA,GK,Lyon,Ligue 1,34,1987,6.7,8,4,0,0,1,8.8,0.2,1.8,0.27,12,49,24.49,178,30,28.7,47,19.1,26.0,78,6,7.69,10,1.5,17.2
162,Joel Robles,ESP,GK,Leeds United,Premier League,32,1990,4.0,11,2,0,0,0,10.5,0.32,-0.5,-0.12,18,71,25.35,90,20,41.1,32,75.0,49.4,43,2,4.65,3,0.75,11.6
163,Marek Rodák,SVK,GK,Fulham,Premier League,25,1996,2.0,2,0,0,0,0,2.0,0.51,0.0,0.01,16,47,34.04,46,3,46.0,15,86.7,60.0,26,1,3.85,2,1.0,14.0
164,Leonardo Román,ESP,GK,Mallorca,La Liga,22,2000,1.0,0,0,0,0,0,0.1,0.03,0.1,0.11,9,21,42.86,30,3,35.2,12,75.0,48.8,30,1,3.33,2,2.0,17.4
165,Francesco Rossi,ITA,GK,Atalanta,Serie A,31,1991,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,3,0,17.3,1,100.0,65.0,1,0,0.0,0,0.0,0.0
166,Gerónimo Rulli,ARG,GK,Villarreal,La Liga,30,1992,14.0,10,0,0,1,0,12.5,0.23,2.5,0.18,50,119,42.02,451,70,28.8,92,34.8,37.9,215,20,9.3,21,1.5,15.5
167,Alessandro Russo,ITA,GK,Sassuolo,Serie A,21,2001,1.0,3,0,0,0,0,2.8,0.4,-0.2,-0.22,0,12,0.0,42,2,30.7,8,0.0,18.3,14,0,0.0,0,0.0,10.0
168,Frederik Rønnow,DEN,GK,Union Berlin,Bundesliga,29,1992,29.0,27,5,0,5,0,35.2,0.26,8.2,0.28,240,605,39.67,1115,109,36.5,163,66.3,49.4,434,43,9.91,29,1.0,13.5
169,José Sá,POR,GK,Wolves,Premier League,29,1993,36.0,55,2,0,6,1,48.4,0.28,-5.6,-0.16,120,435,27.59,935,182,30.9,260,61.9,46.2,540,43,7.96,28,0.78,12.6
170,Brice Samba,FRA,GK,Lens,Ligue 1,28,1994,37.0,28,3,0,6,1,32.4,0.24,5.4,0.15,174,435,40.0,1075,140,33.3,160,33.1,32.7,384,34,8.85,41,1.11,15.4
171,Robert Sánchez,ESP,GK,Brighton,Premier League,24,1997,23.0,30,5,0,4,3,24.2,0.25,-2.8,-0.12,60,205,29.27,645,103,28.9,131,37.4,35.1,229,17,7.42,13,0.57,12.3
172,Mouhamadou Sarr,SEN,GK,Cremonese,Serie A,25,1997,2.0,3,0,0,1,0,2.9,0.36,-0.1,-0.05,19,38,50.0,71,12,35.7,12,75.0,53.6,18,0,0.0,1,0.5,8.6
173,Kasper Schmeichel,DEN,GK,Nice,Ligue 1,35,1986,36.0,35,3,2,5,0,35.9,0.23,0.9,0.02,170,388,43.81,909,119,32.7,278,39.2,35.7,455,24,5.27,23,0.64,12.9
174,Marvin Schwäbe,GER,GK,Köln,Bundesliga,27,1995,34.0,54,4,4,4,3,42.3,0.3,-8.7,-0.26,154,404,38.12,1203,117,31.3,185,31.4,33.9,468,19,4.06,22,0.65,13.4
175,Alexander Schwolow,GER,GK,Schalke 04,Bundesliga,30,1992,22.6,58,4,1,6,0,45.8,0.31,-12.2,-0.54,180,441,40.82,676,79,38.4,174,73.0,55.2,321,7,2.18,23,1.02,15.0
176,Matz Sels,BEL,GK,Strasbourg,Ligue 1,30,1992,38.0,59,10,1,6,0,56.5,0.27,-2.5,-0.06,159,455,34.95,775,130,36.9,196,55.1,43.9,504,31,6.15,32,0.84,12.8
177,Luigi Sepe,ITA,GK,Salernitana,Serie A,31,1991,17.0,27,4,0,0,0,30.3,0.27,3.3,0.2,76,274,27.74,490,84,35.9,154,48.7,41.1,222,16,7.21,13,0.76,14.2
178,Rui Silva,POR,GK,Betis,La Liga,28,1994,26.0,32,2,1,6,1,32.9,0.3,1.9,0.07,154,410,37.56,668,107,35.6,214,64.5,47.5,369,18,4.88,37,1.42,16.6
179,Marco Silvestri,ITA,GK,Udinese,Serie A,31,1991,38.0,48,6,2,3,2,48.7,0.31,2.7,0.07,144,380,37.89,872,142,32.0,302,33.8,34.1,547,13,2.38,21,0.55,12.2
180,Unai Simón,ESP,GK,Athletic Club,La Liga,25,1997,30.5,37,3,1,1,3,31.7,0.28,-2.3,-0.08,134,351,38.18,762,154,33.2,186,63.4,49.4,355,18,5.07,40,1.31,17.5
181,Tobias Sippel,GER,GK,M'Gladbach,Bundesliga,34,1988,5.7,12,1,0,3,0,11.6,0.33,-0.4,-0.08,25,106,23.58,212,23,32.7,48,72.9,53.1,88,2,2.27,4,0.71,13.1
182,Salvatore Sirigu,ITA,GK,Fiorentina,Serie A,35,1987,1.0,0,0,0,0,0,1.0,0.19,1.0,0.96,6,16,37.5,30,9,37.7,8,50.0,41.8,12,0,0.0,2,2.0,26.3
183,Łukasz Skorupski,POL,GK,Bologna,Serie A,31,1991,37.0,49,7,1,6,3,47.8,0.25,1.8,0.05,146,371,39.35,933,206,31.7,278,33.5,33.0,492,29,5.89,24,0.65,12.9
184,François-Joseph Sollacaro,FRA,GK,Ajaccio,Ligue 1,28,1994,6.0,14,1,0,1,1,9.1,0.34,-3.9,-0.65,19,87,21.84,102,11,40.7,40,72.5,48.2,93,6,6.45,6,1.0,11.5
185,Yann Sommer,SUI,GK,"Bayern Munich,M'Gladbach","Bundesliga,Bundesliga",33,1988,29.0,39,9,2,1,1,40.4,0.57,2.4,0.3,96,259,37.07,1168,135,22.7,188,47.9,28.5,374,17,4.55,40,2.72,15.6
187,David Soria,ESP,GK,Getafe,La Liga,29,1993,38.0,45,4,0,7,2,45.5,0.23,2.5,0.07,409,904,45.24,782,99,49.8,347,91.4,59.8,586,36,6.14,46,1.21,15.0
188,Marco Sportiello,ITA,GK,Atalanta,Serie A,30,1992,14.9,21,1,1,2,0,19.6,0.29,-1.4,-0.1,52,148,35.14,346,85,28.8,116,66.4,49.7,200,18,9.0,18,1.21,15.0
189,Jason Steele,ENG,GK,Brighton,Premier League,31,1990,15.0,23,1,0,2,3,18.5,0.29,-1.5,-0.1,34,74,45.95,483,48,24.2,55,3.6,13.9,126,10,7.94,19,1.27,15.7
190,Mile Svilar,SRB,GK,Roma,Serie A,22,1999,3.0,3,0,0,0,0,2.9,0.29,-0.1,-0.03,16,44,36.36,61,13,41.4,16,81.3,60.1,42,6,14.29,4,1.33,12.1
191,Wojciech Szczęsny,POL,GK,Juventus,Serie A,32,1990,27.5,26,3,0,5,0,26.0,0.25,0.0,0.0,128,270,47.41,634,128,33.5,153,43.1,38.3,389,11,2.83,21,0.76,14.7
192,Ciprian Tătărușanu,ROU,GK,Milan,Serie A,36,1986,16.0,22,2,2,4,1,16.8,0.25,-4.2,-0.26,94,195,48.21,473,75,32.9,83,51.8,41.8,195,9,4.62,13,0.81,14.4
193,Marc-André ter Stegen,GER,GK,Barcelona,La Liga,30,1992,37.2,18,3,0,2,3,23.7,0.21,8.7,0.23,168,335,50.15,1215,185,28.9,197,34.0,35.2,368,18,4.89,41,1.1,16.4
194,Pietro Terracciano,ITA,GK,Fiorentina,Serie A,32,1990,29.0,38,6,0,3,2,33.1,0.28,-2.9,-0.1,155,375,41.33,871,113,33.2,198,45.5,40.5,271,12,4.43,55,1.9,18.4
195,Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,32,1990,33.0,51,2,1,7,1,42.3,0.32,-7.7,-0.23,80,326,24.54,664,128,34.8,219,30.1,34.1,401,17,4.24,24,0.73,14.4
196,Mark Travers,IRL,GK,Bournemouth,Premier League,23,1999,11.5,32,2,0,8,2,24.0,0.34,-6.0,-0.52,71,154,46.1,250,54,31.9,118,55.1,43.8,229,5,2.18,5,0.43,10.5
197,Martin Turk,SVN,GK,Sampdoria,Serie A,18,2003,4.0,9,1,0,3,0,8.0,0.26,-1.0,-0.25,35,78,44.87,99,15,35.1,43,86.0,56.3,60,0,0.0,2,0.5,12.3
198,Samir Ujkani,KVX,GK,Empoli,Serie A,34,1988,0.1,1,0,0,0,0,0.2,0.25,-0.8,-9.69,0,0,,2,1,18.5,1,0.0,27.0,1,0,0.0,0,0.0,0.0
199,Sven Ulreich,GER,GK,Bayern Munich,Bundesliga,33,1988,3.0,2,0,0,1,0,2.4,0.18,0.4,0.13,9,26,34.62,112,21,26.0,18,16.7,23.4,34,2,5.88,4,1.33,17.5
200,Guglielmo Vicario,ITA,GK,Empoli,Serie A,25,1996,30.9,39,4,0,8,1,40.9,0.27,2.9,0.09,138,455,30.33,1106,151,33.8,170,50.0,42.9,606,34,5.61,22,0.71,11.5
201,Iván Villar,ESP,GK,Celta Vigo,La Liga,25,1997,19.0,24,3,0,6,0,22.2,0.31,-1.8,-0.09,81,239,33.89,435,96,33.8,157,56.1,44.8,256,8,3.13,14,0.74,14.2
202,Danny Ward,WAL,GK,Leicester City,Premier League,29,1993,26.0,46,2,2,6,4,36.5,0.29,-5.5,-0.21,94,303,31.02,750,154,30.4,190,42.1,35.1,355,20,5.63,42,1.62,15.9
203,Axel Werner,ARG,GK,Elche,La Liga,26,1996,2.0,4,0,0,2,0,2.4,0.31,-1.6,-0.82,4,20,20.0,53,9,34.9,16,18.8,33.8,26,1,3.85,1,0.5,14.0
204,Joseph Whitworth,ENG,GK,Crystal Palace,Premier League,18,2004,2.0,5,0,0,0,0,2.3,0.23,-2.7,-1.33,8,27,29.63,68,8,30.1,15,46.7,36.7,25,1,4.0,3,1.5,15.4
205,Robin Zentner,GER,GK,Mainz 05,Bundesliga,27,1994,26.0,39,3,1,2,0,35.4,0.3,-3.6,-0.14,160,474,33.76,672,146,40.0,194,71.1,54.1,321,43,13.4,53,2.04,17.4
206,Michael Zetterer,GER,GK,Werder Bremen,Bundesliga,27,1995,1.7,3,0,0,1,0,3.2,0.24,0.2,0.11,16,33,48.48,49,13,41.6,12,66.7,50.3,15,3,20.0,4,2.37,16.5
207,Jeroen Zoet,NED,GK,Spezia,Serie A,31,1991,3.7,4,1,0,1,0,2.8,0.14,-1.2,-0.31,25,78,32.05,110,13,39.0,23,78.3,58.4,62,4,6.45,6,1.61,14.7
208,Petar Zovko,BIH,GK,Spezia,Serie A,20,2002,0.8,2,0,0,0,0,1.7,0.55,-0.3,-0.42,7,21,33.33,23,3,35.1,13,76.9,51.1,24,1,4.17,2,2.47,17.0
