Player,Unnamed: 1,Position
Brenden Aaronson,,Attacking Midfield
Paxten Aaronson,,Attacking Midfield
James Abankwah,,Centre-Back
George Abbott,,"['Series([], Name: TmPos, dtype: object)']"
Yunis Abdelhamid,,Centre-Back
Himad Abdelli,,Attacking Midfield
Salis Abdul Samed,,Defensive Midfield
Laurent Abergel,,Defensive Midfield
Oliver Abildgaard,,Defensive Midfield
Matthis Abline,,Centre-Forward
Abner,,Left-Back
Zakaria Aboukhlal,,Right Winger
Tammy Abraham,,Centre-Forward
Christian Acella,,Central Midfield
Francesco Acerbi,,Centre-Back
Álvaro Aceves,,Goalkeeper
Mohamed Achi,,Central Midfield
Marcos Acuña,,Left-Back
Che Adams,,Centre-Forward
Tyler Adams,,Defensive Midfield
Sargis Adamyan,,Centre-Forward
Tosin Adarabioyo,,Centre-Back
Martin Adeline,,Central Midfield
Karim Adeyemi,,Centre-Forward
Amine Adli,,Right Winger
Yacine Adli,,Attacking Midfield
Michel Aebischer,,Central Midfield
Felix Afena-Gyan,,Centre-Forward
Emmanuel Agbadou,,Centre-Back
Julen Agirrezabala,,Goalkeeper
Lucien Agoume,,Defensive Midfield
Felix Agu,,Right-Back
Álvaro Aguado,,Central Midfield
Kevin Agudelo,,Right Winger
Nayef Aguerd,,Centre-Back
Ruben Aguilar,,Right-Back
Naouirou Ahamada,,Defensive Midfield
Amar Ahmed,,Left Winger
Jean-Eudes Aholou,,Defensive Midfield
Joseph Aidoo,,Centre-Back
Ola Aina,,Right-Back
Rayan Aït Nouri,,Left-Back
Emanuel Aiwum,,Centre-Back
Kristoffer Ajer,,Centre-Back
Ludovic Ajorque,,Centre-Forward
Manuel Akanji,,Centre-Back
Nathan Aké,,Centre-Back
Sergio Akieme,,Left-Back
Babatunde Akinsola,,"['Series([], Name: TmPos, dtype: object)']"
Maghnes Akliouche,,Attacking Midfield
Paul Akouokou,,Defensive Midfield
Jean-Daniel Akpa-Akpro,,Central Midfield
Kevin Akpoguma,,Centre-Back
David Alaba,,Centre-Back
Ángel Alarcón,,Left Winger
Tomás Alarcón,,Defensive Midfield
Lucas Alario,,Centre-Forward
Jordi Alba,,Left-Back
Luis Alberto,,Central Midfield
Raúl Albiol,,Centre-Back
Marc Albrighton,,Right Winger
Thiago Alcántara,,Central Midfield
Carlos Alcaraz,,Central Midfield
Rubén Alcaraz,,Central Midfield
Omar Alderete,,Centre-Back
Iván Alejo,,Right Winger
Doğan Alemdar,,Goalkeeper
Carles Aleñá,,Central Midfield
Trent Alexander-Arnold,,Right-Back
Alejandro Alfaro,,Central Midfield
Ángel Algobia,,Central Midfield
Mohamed Ali Cho,,Centre-Forward
Faride Alidou,,Left Winger
Alisson,,Goalkeeper
Jim Allevinah,,Left Winger
Dele Alli,,Attacking Midfield
Domingos André Ribeiro Almeida,,Central Midfield
Miguel Almirón,,Right Winger
Marcos Alonso,,Left-Back
Mickaël Alphonse,,Right-Back
Éder Álvarez Balanta,,Defensive Midfield
Carlos Álvarez,,"['Series([], Name: TmPos, dtype: object)']"
Gastón Álvarez,,Centre-Back
Julián Álvarez,,Centre-Forward
Agustín Álvarez Martínez,,Centre-Forward
Yeray Álvarez,,Centre-Back
Ibrahim Amadou,,Defensive Midfield
Selim Amallah,,Attacking Midfield
Daniel Amartey,,Centre-Back
Amath,,Left Winger
Jordan Amavi,,Left-Back
Lukáš Ambros,,Attacking Midfield
Kelvin Amian,,Right-Back
Bruno Amione,,Centre-Back
Nadiem Amiri,,Central Midfield
Samuel Amo-Ameyaw,,"['Series([], Name: TmPos, dtype: object)']"
Ethan Ampadu,,Centre-Back
Sofyan Amrabat,,Defensive Midfield
Ayoub Amraoui,,Left-Back
Joachim Andersen,,Centre-Back
Elliot Anderson,,Attacking Midfield
Felipe Anderson,,Right Winger
Benjamin André,,Defensive Midfield
Marcos André,,Centre-Forward
Komnen Andrić,,Centre-Forward
Robert Andrich,,Central Midfield
Angeliño,,Left-Back
Fabrizio Angileri,,Left-Back
Jaidon Anthony,,Left Winger
Janis Antiste,,Centre-Forward
Waldemar Anton,,Centre-Back
Josep Antoni Gayá,,Centre-Back
José Antonio,,Left Winger
Marcos Antônio,,Central Midfield
Michail Antonio,,Centre-Forward
Antony,,Right Winger
Valentin Antov,,Centre-Back
Christopher Antwi-Adjei,,Left Winger
Anuar,,Central Midfield
Houssem Aouar,,Central Midfield
Adil Aouchiche,,Attacking Midfield
Dennis Appiah,,Right-Back
Stredair Appuah,,Left Winger
Mauro Arambarri,,Central Midfield
Charles Aránguiz,,Central Midfield
Ronald Araújo,,Centre-Back
Cameron Archer,,Centre-Forward
Taïryk Arconte,,Right Winger
Alphonse Areola,,Goalkeeper
Adu Ares,,Left Winger
Joe Aribo,,Central Midfield
Adam Armstrong,,Centre-Forward
Stuart Armstrong,,Central Midfield
Marko Arnautović,,Centre-Forward
Maximilian Arnold,,Central Midfield
Mohamed El Arouch,,Central Midfield
Sergio Arribas,,Right Winger
Kepa Arrizabalaga,,Goalkeeper
Roberto Arroyo,,Centre-Forward
Tolgay Arslan,,Central Midfield
Ricard Artero,,Attacking Midfield
Arthur,,Centre-Forward
Santiago Arzamendia,,Left-Back
Takuma Asano,,Right Winger
Santiago Ascacíbar,,Defensive Midfield
Sergio Asenjo,,Goalkeeper
Marco Asensio,,Right Winger
Kristoffer Askildsen,,Central Midfield
Fisnik Asllani,,Centre-Forward
Kristjan Asllani,,Defensive Midfield
Iago Aspas,,Centre-Forward
Lorenz Assignon,,Right-Back
Youcef Atal,,Right-Back
Valentin Atangana Edoa,,Defensive Midfield
Pierre-Emerick Aubameyang,,Centre-Forward
Emil Audero,,Goalkeeper
Tommaso Augello,,Left-Back
Ludwig Augustinsson,,Left-Back
Serge Aurier,,Right-Back
Mathias Autret,,Attacking Midfield
Ezequiel Ávila,,Centre-Forward
Cédric Avinel,,Centre-Back
Taiwo Awoniyi,,Centre-Forward
Yasin Ayari,,Central Midfield
Mehmet Aydin,,Right-Back
André Ayew,,Left Winger
Jordan Ayew,,Centre-Forward
Kaan Ayhan,,Centre-Back
Luke Ayling,,Right-Back
Ayman Azhil,,Central Midfield
Sardar Azmoun,,Centre-Forward
César Azpilicueta,,Right-Back
Sanoussy Ba,,Left-Back
Iddrisu Baba,,Central Midfield
Srđan Babić,,Centre-Back
Loïc Bade,,Centre-Back
Édgar Badía,,Goalkeeper
Benoît Badiashile,,Centre-Back
Alex Baena,,Left Winger
Jaime Báez,,Left Winger
Leon Bailey,,Left Winger
Eric Bailly,,Centre-Back
Dénys Bain,,Centre-Back
Brandon Baiye,,Defensive Midfield
Stefan Bajcetic,,Defensive Midfield
Nedim Bajrami,,Attacking Midfield
Cédric Bakambu,,Centre-Forward
Tiemoué Bakayoko,,Defensive Midfield
Mitchel Bakker,,Left-Back
Ridle Baku,,Right-Back
Tommaso Baldanzi,,Attacking Midfield
Alejandro Balde,,Left-Back
Thierno Balde,,Right-Back
Carlos Baleba,,Central Midfield
Mikel Balenziaga,,Left-Back
Leonardo Balerdi,,Centre-Back
Dominic Ballard,,"['Series([], Name: TmPos, dtype: object)']"
Iván Balliu,,Right-Back
Fodé Ballo-Touré,,Left-Back
Folarin Balogun,,Centre-Forward
Abdoulaye Bamba,,Right-Back
Jonathan Bamba,,Left Winger
Patrick Bamford,,Centre-Forward
Lameck Banda,,Left Winger
Filippo Bandinelli,,Central Midfield
Léo Baptistão,,Centre-Forward
Shandon Baptiste,,Central Midfield
Antonín Barák,,Attacking Midfield
Andrea Barberis,,Defensive Midfield
Tommaso Barbieri,,Right-Back
Bradley Barcola,,Left Winger
Melvin Bard,,Left-Back
Francesco Bardi,,Goalkeeper
Keidi Bare,,Central Midfield
Nicolò Barella,,Central Midfield
Kike Barja,,Right Winger
Ross Barkley,,Central Midfield
Aymen Barkok,,Central Midfield
Harvey Barnes,,Left Winger
Leandro Barreiro Martins,,Central Midfield
Enzo Barrenechea,,Defensive Midfield
Ander Barrenetxea,,Left Winger
Mickaël Barreto,,Attacking Midfield
Pablo Barrios,,Central Midfield
Musa Barrow,,Left Winger
Federico Baschirotto,,Centre-Back
Toma Bašić,,Central Midfield
Alberto Basso,,Centre-Forward
Gil Bastião Dias,,Left-Back
Alessandro Bastoni,,Centre-Back
Simone Bastoni,,Central Midfield
Rodrigo Battaglia,,Defensive Midfield
Maximilian Bauer,,Centre-Back
Oliver Baumann,,Goalkeeper
Timo Baumgartl,,Centre-Back
Julian Baumgartlinger,,Defensive Midfield
Christoph Baumgartner,,Attacking Midfield
Cyrille Bayala,,Right Winger
Brian Bayeye,,Right-Back
Noah Joel Sarenren Bazee,,Right Winger
Gavin Bazunu,,Goalkeeper
Bebé,,Left Winger
Ihlas Bebou,,Centre-Forward
Rodrigo Becão,,Centre-Back
Mads Bech Sørensen,,Centre-Back
Julius Beck,,Central Midfield
Sheraldo Becker,,Second Striker
Jan Bednarek,,Centre-Back
Donny van de Beek,,Central Midfield
Asmir Begović,,Goalkeeper
Yanis Begraoui,,Centre-Forward
Kevin Behrens,,Centre-Forward
Alexis Beka Beka,,Defensive Midfield
Jérémie Bela,,Left Winger
Reda Belahyane,,Defensive Midfield
Youcef Belaïli,,Left Winger
Haris Belkebla,,Central Midfield
Stefan Bell,,Centre-Back
Armel Bella Kotchap,,Centre-Back
Raoul Bellanova,,Right-Back
Karim Bellarabi,,Right Winger
Jean-Ricner Bellegarde,,Central Midfield
Héctor Bellerín,,Right-Back
Jude Bellingham,,Central Midfield
Jeanöel Belocian,,Centre-Back
Andrea Belotti,,Centre-Forward
Fran Beltrán,,Central Midfield
Eliesse Ben Seghir,,Attacking Midfield
Salim Ben Seghir,,Left Winger
Wissam Ben Yedder,,Centre-Forward
Marco Benassi,,Central Midfield
Iker Benito,,Right Winger
Ismaël Bennacer,,Defensive Midfield
Saïd Benrahma,,Left Winger
Ramy Bensebaini,,Left-Back
Nabil Bentaleb,,Central Midfield
Rodrigo Bentancur,,Central Midfield
Daniel Bentley,,Goalkeeper
Karim Benzema,,Centre-Forward
Domenico Berardi,,Right Winger
Yuri Berchiche,,Left-Back
Álex Berenguer,,Right Winger
Bartosz Bereszyński,,Right-Back
Patrick Berg,,Defensive Midfield
Mitchell van Bergen,,Left Winger
Mergim Berisha,,Centre-Forward
Quentin Bernard,,Left-Back
Paul Bernardoni,,Goalkeeper
Juan Bernat,,Left-Back
Victor Bernth Kristiansen,,Left-Back
Jason Berthomier,,Attacking Midfield
Marco Bertini,,Defensive Midfield
Beto,,Centre-Forward
Owen Bevan,,Centre-Back
Matteo Bianchetti,,Centre-Back
Alessandro Bianco,,Central Midfield
Giulian Biancone,,Right-Back
Ermin Bičakčić,,Centre-Back
Pedro Bigas,,Centre-Back
Jaka Bijol,,Centre-Back
El Bilal Touré,,Centre-Forward
Philip Billing,,Central Midfield
Jean-Claude Billong,,Centre-Back
Cristiano Biraghi,,Left-Back
Samuele Birindelli,,Right-Back
Veljko Birmančević,,Left Winger
Tom Bischof,,Attacking Midfield
Yves Bissouma,,Central Midfield
Kristijan Bistrović,,Central Midfield
Leonardo Bittencourt,,Attacking Midfield
Marco Bizot,,Goalkeeper
Lautaro Blanco,,Left-Back
Rubén Blanco,,Goalkeeper
Ludovic Blas,,Attacking Midfield
Janis Blaswich,,Goalkeeper
Miha Blažič,,Centre-Back
Joaquín Blázquez,,Goalkeeper
Alexis Blin,,Defensive Midfield
Daley Blind,,Centre-Back
Myron Boadu,,Centre-Forward
Jérôme Boateng,,Centre-Back
Kevin-Prince Boateng,,Attacking Midfield
Antonin Bobichon,,Central Midfield
Jean-Paul Boëtius,,Attacking Midfield
Jeremie Boga,,Left Winger
Emil Bohinen,,Central Midfield
Quentin Boisgard,,Attacking Midfield
Willy Boly,,Centre-Back
Giacomo Bonaventura,,Central Midfield
Federico Bonazzoli,,Centre-Forward
Warren Bondo,,Central Midfield
Theo Bongonda,,Right Winger
Kevin Bonifazi,,Centre-Back
Leonardo Bonucci,,Centre-Back
Neto Borges,,Left-Back
Yvandro Borges Sanches,,Left Winger
Sebastiaan Bornauw,,Centre-Back
Rafael Borré,,Centre-Forward
Erik Botheim,,Centre-Forward
Sven Botman,,Centre-Back
Kenji-Van Boto,,Left-Back
Kouamé Botué,,Left Winger
Badredine Bouanani,,Right Winger
Hicham Boudaoui,,Right Midfield
Franci Bouebari,,Centre-Back
Sofiane Boufal,,Left Winger
Yassine Bounou,,Goalkeeper
Ismaëlben Boura,,Left-Back
Mehdi Bourabia,,Central Midfield
Benjamin Bourigeaud,,Central Midfield
Edoardo Bove,,Central Midfield
Jarrod Bowen,,Right Winger
Lucas Boyé,,Centre-Forward
Jayden Braaf,,Left Winger
Domagoj Bradarić,,Left-Back
Bilal Brahimi,,Right Winger
Martin Braithwaite,,Centre-Forward
Juan Brandáriz,,Centre-Back
Julian Brandt,,Attacking Midfield
Darko Brašanac,,Central Midfield
Lilian Brassier,,Centre-Back
Claudio Bravo,,Goalkeeper
Fabian Bredlow,,Goalkeeper
James Bree,,Right-Back
Josip Brekalo,,Left Winger
Gleison Bremer,,Centre-Back
Armando Broja,,Centre-Forward
Dylan Bronn,,Centre-Back
David Brooks,,Right Winger
John Brooks,,Centre-Back
Moritz Broschinski,,Centre-Forward
Marcelo Brozović,,Defensive Midfield
Cédric Brunner,,Right-Back
Lewis Brunt,,Centre-Back
Jacob Bruun Larsen,,Left Winger
Andreas Bruus,,Right-Back
Joe Bryan,,Left-Back
Lee Buchanan,,Left-Back
Ante Budimir,,Centre-Forward
Emi Buendía,,Right Winger
Hugo Bueno,,Left-Back
Santiago Bueno,,Centre-Back
Adam Buksa,,Centre-Forward
Marius Bülter,,Second Striker
Cristian Buonaiuto,,Left Winger
Facundo Buonanotte,,Attacking Midfield
Alessandro Buongiorno,,Centre-Back
Delano Burgzorg,,Left Winger
Jonathan Burkardt,,Centre-Forward
Oliver Burke,,Centre-Forward
Dan Burn,,Centre-Back
Maxime Busi,,Right-Back
Sergio Busquets,,Defensive Midfield
Aurélio Buta,,Right-Back
Leonardo Buta,,Left-Back
Marcin Bułka,,Goalkeeper
Jamie Bynoe-Gittens,,Right Winger
Juan Cabal,,Centre-Back
Rémy Cabella,,Attacking Midfield
Jimmy Cabot,,Right WingBack
Leandro Cabrera,,Centre-Back
Liberato Cacace,,Left-Back
Anthony Caci,,Left-Back
Cafú,,Central Midfield
Moisés Caicedo,,Central Midfield
Tom Cairney,,Central Midfield
Jens Cajuste,,Defensive Midfield
Cala,,Centre-Back
Davide Calabria,,Right-Back
Mattia Caldara,,Centre-Back
Luca Caldirola,,Centre-Back
Fernando Calero,,Centre-Back
Duje Ćaleta-Car,,Centre-Back
Hakan Çalhanoğlu,,Central Midfield
Kerim Calhanoglu,,Left-Back
Daniel Caligiuri,,Right Winger
Alexander Callens,,Centre-Back
Dominic Calvert-Lewin,,Centre-Forward
Mahdi Camara,,Central Midfield
Mohamed Camara,,Defensive Midfield
Ousmane Camara,,   Centre-Back
Eduardo Camavinga,,Central Midfield
Nicolò Cambiaghi,,Left Winger
Andrea Cambiaso,,Left-Back
Axel Camblan,,Attacking Midfield
Sergio Camello,,Centre-Forward
Chem Campbell,,Attacking Midfield
Emre Can,,Defensive Midfield
Sergio Canales,,Attacking Midfield
Matteo Cancellieri,,Right Winger
João Cancelo,,Right-Back
Antonio Candreva,,Right WingBack
Thomas Cannon,,Centre-Forward
Sergi Canós,,Right Winger
Ander Capa,,Right-Back
Pierrick Capelle,,Left WingBack
Étienne Capoue,,Defensive Midfield
Gianluca Caprari,,Second Striker
Francesco Caputo,,Centre-Forward
Maxence Caqueret,,Central Midfield
Andrea Carboni,,Centre-Back
Franco Carboni,,Left WingBack
Valentin Carboni,,Attacking Midfield
Isaac Carcelen,,Right-Back
Irvin Cardona,,Centre-Forward
Igor Carioca,,Right-Back
Carlos,,   Left-Back
Diego Carlos,,Centre-Back
Juan Carlos,,Attacking Midfield
José Carlos Lazo,,Left Winger
Carmona,,Right-Back
Marco Carnesecchi,,Goalkeeper
Yannick Carrasco,,Left Winger
Dani Carvajal,,Right-Back
Fabio Carvalho,,Attacking Midfield
Matis Carvalho,,Goalkeeper
William Carvalho,,Defensive Midfield
Nicolò Casale,,Centre-Back
Casemiro,,Defensive Midfield
Matty Cash,,Right-Back
Tommaso Cassandro,,Right-Back
Timothy Castagne,,Right-Back
Michele Castagnetti,,Defensive Midfield
Koen Casteels,,Goalkeeper
Valentín Castellanos,,Centre-Forward
Jean-Charles Castelletto,,Centre-Back
Samu Castillejo,,Right Winger
Jonny Castro,,Left-Back
Gaetano Castrovilli,,Central Midfield
Danilo Cataldi,,Defensive Midfield
Catena,,Centre-Back
Yoann Cathline,,Left Winger
Maximiliano Caufriez,,Centre-Back
Edinson Cavani,,Centre-Forward
Dani Ceballos,,Central Midfield
Pietro Ceccaroni,,Centre-Back
Federico Ceccherini,,Centre-Back
Assan Ceesay,,Centre-Forward
Emil Ceide,,Left Winger
Zeki Çelik,,Right-Back
Álex Centelles,,Left-Back
Fabien Centonze,,Right-Back
Michele Cerofolini,,Goalkeeper
Franco Cervi,,Left Winger
Julio César Enciso,,Centre-Forward
Julian Chabot,,Goalkeeper
Florian Chabrolle,,Centre-Back
El Chadaille Bitshiabu,,Attacking Midfield
Fares Chaïbi,,Centre-Back
Nathaniel Chalobah,,Central Midfield
Trevoh Chalobah,,Defensive Midfield
Muhammed Cham,,Centre-Back
Calum Chambers,,Centre-Back
Timothy Chandler,,Right-Back
Gaëtan Charbonnier,,Centre-Forward
Brendan Chardonnet,,Centre-Back
Shea Charles,,"['Series([], Name: TmPos, dtype: object)']"
Xavier Chavalerin,,Central Midfield
Pep Chavarría,,Left-Back
Ivane Chegra,,Right Winger
Pape Cheikh Diop,,Centre-Back
Rayan Cherki,,Right Winger
Ilyes Cheti,,Left-Back
Lucas Chevalier,,Goalkeeper
Fabio Chiarodia,,Centre-Back
Federico Chiesa,,Right Winger
Ben Chilwell,,Left-Back
Vlad Chiricheș,,Centre-Back
Pedro Chirivella,,Defensive Midfield
Joris Chotard,,Defensive Midfield
Andreas Christensen,,Centre-Back
Oliver Christensen,,Goalkeeper
Ryan Christie,,Attacking Midfield
Carney Chukwuemeka,,Central Midfield
Samuel Chukwueze,,Right Winger
Darko Churlinov,,Left Winger
Víctor Chust,,Centre-Back
Tolga Ciğerci,,Defensive Midfield
Yanis Cimignani,,Left WingBack
Daniel Ciofani,,Centre-Forward
Tio Cipot,,Central Midfield
Pathé Ciss,,Central Midfield
Souleymane Cissé,,Centre-Back
Patrick Ciurria,,Right Winger
Bobby Clark,,Central Midfield
Alexis Claude-Maurice,,Attacking Midfield
Jonathan Clauss,,Right-Back
Carlos Clerc,,Left-Back
Nathaniel Clyne,,Right-Back
Conor Coady,,Centre-Back
Nicolò Cocetta,,"['Series([], Name: TmPos, dtype: object)']"
Marcus Coco,,Right Winger
Alexandre Coeff,,Centre-Back
Jack Colback,,Defensive Midfield
Séamus Coleman,,Right-Back
David Čolina,,Left-Back
Álex Collado,,Attacking Midfield
Diego Collado,,Left Winger
Omar Colley,,Centre-Back
Nathan Collins,,Centre-Back
Lorenzo Colombo,,Centre-Forward
Andrea Colpani,,Central Midfield
Levi Colwill,,Centre-Back
Kingsley Coman,,Right Winger
Eray Cömert,,Centre-Back
Santi Comesaña,,Central Midfield
Andrea Consigli,,Goalkeeper
Abdu Conté,,Left-Back
Andrea Conti,,Right-Back
Lewis Cook,,Central Midfield
Steve Cook,,Centre-Back
Liam Cooper,,Centre-Back
Copete,,Centre-Back
Diego Coppola,,Centre-Back
Francis Coquelin,,Defensive Midfield
Sébastien Corchia,,Right-Back
Alex Cordaz,,Goalkeeper
Maxwel Cornet,,Left Winger
Jesús Corona,,Right Winger
Ángel Correa,,Second Striker
Joaquín Correa,,Second Striker
Thierry Correia,,Right-Back
Alessandro Cortinovis,,Attacking Midfield
Danny da Costa,,Right-Back
David Pereira da Costa,,Attacking Midfield
Diego Costa,,Centre-Forward
Jaume Costa,,Left-Back
Logan Costa,,Centre-Back
Nuno da Costa,,Centre-Forward
Samu Costa,,Defensive Midfield
Benoît Costil,,Goalkeeper
Vladimír Coufal,,Right-Back
Lassana Coulibaly,,Central Midfield
Soumaïla Coulibaly,,Centre-Back
Tanguy Coulibaly,,Left Winger
Thibaut Courtois,,Goalkeeper
Mathieu Coutadeur,,Central Midfield
Philippe Coutinho,,Left Winger
Yan Couto,,Right-Back
Conor Coventry,,Defensive Midfield
Nicolas Cozza,,Left-Back
Alessio Cragno,,Goalkeeper
Matthew Craig,,"['Series([], Name: TmPos, dtype: object)']"
Aaron Cresswell,,Left-Back
Bryan Cristante,,Defensive Midfield
Domen Črnigoj,,"['Series([], Name: TmPos, dtype: object)']"
Juan Cruz Armada,,Left-Back
Juan Cruz,,Right Winger
Juan Cuadrado,,Right-Back
Marc Cucurella,,Left-Back
Jorge Cuenca,,Centre-Back
Braian Cufré,,Left-Back
Mickaël Cuisance,,Central Midfield
Matheus Cunha,,Centre-Forward
Curro,,Right Winger
Marco D'Alessandro,,Right Winger
Danilo D'Ambrosio,,Centre-Back
Luca D'Andrea,,Right Winger
Damien Da Silva,,Centre-Back
Moanes Dabbur,,Centre-Forward
Andréa Dacourt,,"['Series([], Name: TmPos, dtype: object)']"
Colin Dagba,,Right-Back
Finn Dahmen,,Goalkeeper
Mahmoud Dahoud,,Central Midfield
Patson Daka,,Centre-Forward
Thijs Dallinga,,Centre-Forward
Diogo Dalot,,Right-Back
Muhammed Damar,,Attacking Midfield
Mikkel Damsgaard,,Left Winger
Flavius Daniliuc,,Centre-Back
Danilo,,Right-Back
Arnaut Danjuma,,Left Winger
Kévin Danois,,Attacking Midfield
Kevin Danso,,Centre-Back
Dante,,Centre-Back
Márton Dárdai,,Centre-Back
Sergi Darder,,Central Midfield
Achraf Dari,,Centre-Back
Vladimír Darida,,Central Midfield
Matteo Darmian,,Right-Back
Josh Dasilva,,Defensive Midfield
Jonathan David,,Centre-Forward
Alphonso Davies,,Left-Back
Ben Davies,,Left-Back
Tom Davies,,Central Midfield
Paweł Dawidowicz,,Centre-Back
Craig Dawson,,Centre-Back
Kevin De Bruyne,,Attacking Midfield
Charles De Ketelaere,,Attacking Midfield
Manuel De Luca,,Centre-Forward
Tommaso De Nipoti,,Second Striker
Rodrigo De Paul,,Central Midfield
Mattia De Sciglio,,Right-Back
Lorenzo De Silvestri,,Right-Back
Thibault De Smet,,Left-Back
Koni De Winter,,Centre-Back
Grégoire Defrel,,Centre-Forward
Duccio Degl'Innocenti,,Defensive Midfield
Brecht Dejaegere,,Central Midfield
Romain Del Castillo,,Right Winger
Alberto Del Moral,,Central Midfield
Thomas Delaine,,Left-Back
Thomas Delaney,,Defensive Midfield
Sacha Delaye,,Central Midfield
Fran Delgado,,Right-Back
Andy Delort,,Centre-Forward
Karamoko Dembele,,Right Winger
Moussa Dembélé,,Centre-Forward
Ousmane Dembélé,,Right Winger
Siriki Dembélé,,Left Winger
Merih Demiral,,Centre-Back
Kerem Demirbay,,Central Midfield
Ermedin Demirović,,Centre-Forward
Diego Demme,,Defensive Midfield
Sepp van den Berg,,Centre-Back
Branco van den Boomen,,Central Midfield
Leander Dendoncker,,Defensive Midfield
Emmanuel Dennis,,Centre-Forward
Fabio Depaoli,,Right-Back
Kastriot Dermaku,,Centre-Back
Halil Dervişoğlu,,Centre-Forward
Rémy Descamps,,Goalkeeper
Mikkel Desler,,Right-Back
Cyriel Dessers,,Centre-Forward
Sergiño Dest,,Right-Back
Mattia Destro,,Centre-Forward
Gerard Deulofeu,,Centre-Forward
Kiernan Dewsbury-Hall,,Central Midfield
Samuel Di Carmine,,Centre-Forward
Federico Di Francesco,,Left Winger
